ID,Word
0,<unk>
1,<pad>
2,<sos>
3,<eos>
4,a
5,.
6,A
7,in
8,the
9,on
10,is
11,and
12,man
13,of
14,with
15,","
16,woman
17,are
18,to
19,Two
20,at
21,wearing
22,people
23,shirt
24,white
25,young
26,black
27,his
28,an
29,while
30,blue
31,red
32,sitting
33,girl
34,dog
35,boy
36,men
37,standing
38,playing
39,group
40,street
41,down
42,walking
43,-
44,front
45,her
46,holding
47,water
48,by
49,The
50,up
51,green
52,women
53,An
54,one
55,for
56,looking
57,outside
58,child
59,Three
60,as
61,little
62,large
63,through
64,yellow
65,brown
66,two
67,from
68,hat
69,ball
70,their
71,into
72,person
73,children
74,next
75,other
76,dressed
77,small
78,out
79,over
80,building
81,riding
82,running
83,People
84,near
85,jacket
86,another
87,around
88,some
89,sidewalk
90,field
91,orange
92,beach
93,crowd
94,stands
95,pink
96,sits
97,jumping
98,behind
99,table
100,snow
101,grass
102,hair
103,background
104,stand
105,bike
106,'s
107,air
108,city
109,player
110,girls
111,Man
112,looks
113,top
114,wall
115,off
116,that
117,dogs
118,camera
119,dress
120,park
121,talking
122,something
123,older
124,along
125,walks
126,guitar
127,play
128,lady
129,soccer
130,together
131,working
132,blond
133,boys
134,food
135,gray
136,smiling
137,game
138,has
139,picture
140,plays
141,Asian
142,hand
143,car
144,holds
145,Four
146,him
147,road
148,bench
149,it
150,glasses
151,pants
152,stage
153,shorts
154,sit
155,carrying
156,walk
157,baby
158,couple
159,them
160,bicycle
161,face
162,side
163,tree
164,""""
165,Several
166,old
167,pool
168,taking
169,rock
170,each
171,long
172,race
173,doing
174,across
175,watching
176,head
177,jeans
178,area
179,dirt
180,male
181,middle
182,dark
183,jumps
184,boat
185,hands
186,back
187,ground
188,performing
189,room
190,day
191,who
192,eating
193,female
194,being
195,baseball
196,guy
197,coat
198,striped
199,using
200,suit
201,under
202,football
203,horse
204,watch
205,mouth
206,purple
207,sign
208,store
209,haired
210,he
211,sand
212,band
213,runs
214,look
215,tennis
216,Young
217,reading
